SYS_C0028705             ,   ,      10,    22,   19026.76,    27.13,    26111.00,    25348.16,      27077.80,    7084.24
GLX_BL_ENTRY_ID          ,   ,      14,    29,    9871.13,    43.48,    17466.00,    16955.73,      18292.58,    7594.87
SYS_C0028700             ,   ,      27,    53,    5803.84,    12.80,     6656.00,     6461.54,       6759.78,     852.16
GLX_BL_OCCURED_ON        ,   ,      29,    52,    5084.74,    10.83,     5702.00,     5535.42,       5713.87,     617.26
GLX_BL_IDX_ORDINAL       ,   ,      23,    28,    4428.27,    46.49,     8647.00,     7631.25,       8275.05,    3846.78
GLX_BL_AUTOINC           ,   ,      43,    46,    2615.55,    16.17,     3120.00,     3028.85,       3140.45,     504.45
GLX_CDX_EO               ,   ,      46,    51,    1886.69,    29.39,     2672.00,     2593.94,       2765.99,     785.31
SYS_C0024726             ,   ,      53,    14,    1273.72,    20.20,     1728.00,     1525.01,       1596.20,     322.48
BC_BPEM_EL_ENTRY~Z2      ,   ,      66,    61,     327.41,    39.77,      560.00,      543.64,        462.18,     216.23
BPEM_IDX_OBJ_I2          ,   ,      80,    25,     184.11,    37.46,      312.00,      275.35,        294.36,     110.26
SYS_C0012343             ,   ,      76,    70,     176.12,    41.85,      320.00,      282.41,        302.85,     126.73
GLX_C_SUBSCRIPT_FP~ZF    ,   ,      83,    75,     133.33,    39.98,      222.13,      215.64,        225.12,      88.80
SYS_C005291              ,   ,      81,   101,     132.33,    47.93,      264.00,      232.99,        254.12,     121.79
SYS_C005267              ,   ,      87,    79,     126.70,    28.82,      178.00,      157.09,        181.50,      51.30
SYS_C007572              ,   ,      82,    50,     109.43,    48.72,      232.00,      204.75,        213.40,     103.97
