SYS_C0028705             ,   ,      10,    22,   18934.26,    27.49,    26111.00,    25348.16,      27170.30,    7176.74
GLX_BL_ENTRY_ID          ,   ,      14,    29,    9775.20,    44.03,    17466.00,    16955.73,      18388.51,    7690.80
SYS_C0028700             ,   ,      27,    53,    5859.24,    12.81,     6720.00,     6523.67,       6768.39,     860.76
GLX_BL_OCCURED_ON        ,   ,      29,    52,    5077.73,    10.95,     5702.00,     5535.42,       5720.88,     624.27
GLX_BL_IDX_ORDINAL       ,   ,      23,    28,    4428.27,    46.82,     8647.00,     7631.25,       8326.44,    3898.17
GLX_BL_AUTOINC           ,   ,      43,    46,    2610.13,    16.34,     3120.00,     3028.85,       3145.87,     509.87
GLX_CDX_EO               ,   ,      46,    51,    1878.41,    29.70,     2672.00,     2593.94,       2774.28,     793.59
SYS_C0024726             ,   ,      53,    14,    1273.67,    20.21,     1728.00,     1525.01,       1596.20,     322.53
BC_BPEM_EL_ENTRY~Z2      ,   ,      66,    61,     324.41,    40.33,      560.00,      543.64,        462.18,     219.23
BPEM_IDX_OBJ_I2          ,   ,      80,    25,     184.11,    37.80,      312.00,      275.35,        295.98,     111.88
SYS_C0012343             ,   ,      76,    70,     176.12,    42.20,      320.00,      282.41,        304.72,     128.60
GLX_C_SUBSCRIPT_FP~ZF    ,   ,      83,    75,     133.33,    39.97,      222.13,      215.64,        225.12,      88.79
SYS_C005291              ,   ,      81,   101,     132.33,    47.97,      264.00,      232.99,        254.36,     122.03
SYS_C005267              ,   ,      87,    79,     126.46,    28.96,      178.00,      157.09,        181.73,      51.54
SYS_C007572              ,   ,      82,    50,     114.34,    46.42,      232.00,      204.75,        213.40,      99.06
