DAY;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2022/08/15;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2022/08/14;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0
2022/08/13;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/12;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/11;6;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022/08/10;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
2022/08/09;5;1;0;0;1;0;1;1;8;7;9;8;10;9;9;8;11;0;0;0;0;0;0;0
2022/08/08;0;0;0;1;0;0;0;1;10;7;8;7;8;10;7;8;10;11;4;4;2;1;1;0
2022/08/07;6;1;0;0;1;0;1;1;8;8;9;10;9;9;9;9;8;10;3;5;2;0;0;0
2022/08/06;2;0;1;0;0;1;23;32;7;6;8;7;9;8;8;9;7;9;6;4;3;0;0;0
2022/08/05;5;0;1;0;0;0;0;1;7;9;9;8;6;8;9;8;8;9;5;3;2;0;0;0
2022/08/04;5;1;0;1;0;0;0;1;8;8;10;8;9;9;8;8;8;10;5;4;2;0;0;0
2022/08/03;18;9;11;8;0;1;0;0;0;0;0;10;7;7;8;8;7;5;4;5;1;0;0;0
2022/08/02;5;1;1;0;0;0;1;1;8;8;8;8;9;9;8;7;8;9;4;0;0;0;0;0
2022/08/01;1;0;1;1;0;0;1;1;7;6;7;8;6;6;7;8;8;8;6;5;2;1;1;1
2022/07/31;5;1;1;1;0;1;1;0;9;8;9;7;8;7;8;9;7;8;4;4;2;0;0;1
2022/07/30;6;0;0;0;1;0;5;4;7;8;6;6;8;7;7;8;8;8;4;4;2;0;1;0
2022/07/29;6;0;0;0;0;0;1;1;7;10;8;7;10;10;8;7;10;7;5;6;2;0;0;0
2022/07/28;5;0;1;0;0;0;1;1;8;8;5;7;8;5;7;8;7;10;5;6;2;0;0;0
2022/07/27;11;1;0;0;0;0;0;0;1;0;0;0;0;0;2;5;5;5;4;4;2;0;1;1
2022/07/26;5;0;1;1;0;1;1;3;7;8;8;7;8;7;9;0;1;0;0;0;0;0;0;0
2022/07/25;6;1;0;1;0;0;0;0;7;7;7;7;7;7;7;9;8;10;5;4;2;1;0;0
2022/07/24;6;1;1;0;0;0;2;1;8;7;8;8;7;7;8;9;11;8;4;6;2;0;0;1
2022/07/23;3;0;0;0;0;0;2;1;8;7;8;7;7;7;6;8;10;9;5;3;2;1;0;1
2022/07/22;5;0;1;0;0;0;1;1;8;8;9;9;8;8;8;7;8;8;4;4;1;0;0;1
2022/07/21;6;0;1;1;0;0;1;1;8;8;7;8;7;6;8;6;7;8;3;5;2;0;0;0
