TSP_NAME;TABLESPACE_TYPE;ALLOC_GB;DB_%;AUTOEXT_GB;USED_GB;USED_%;FREE_GB;FILES;SEGMENTS;EXTENTS
PSAPSR3DB;LMTS/P (SYS), ASSM;4061.17;93.97;4061.17;2959.74;72.88;1101.43;127;2142;76435
PSAPUNDO;LMTS/U (SYS);135.06;3.13;135.06;25.33;18.75;109.73;5;430;11715
PSAPTEMP;LMTS/T (UNI 2M);117.19;2.71;117.19;0.0;0.0;117.18;4;0;2
SYSAUX;LMTS/P (SYS), ASSM;6.33;0.15;29.3;3.85;60.79;2.48;1;3725;13396
SYSTEM;LMTS/P (SYS);2.0;0.05;9.77;0.85;42.45;1.15;1;2226;4204
