OWNER;TABLE_NAME;B;L;U;COMP;POS;COLS;TOTAL_GB;TOTAL_%;CUM_%;PART.;TABLE_GB;TAB_TABSPACE;IND.;INDEX_GB;IND_TABSPACE;LOBS;LOB_GB
SAPSR3DB;EP_ATTR_HEADERS3;;;X;NNN;66;16;0.08;0.0;98.57;0;0.01;PSAPSR3DB;2;0.01;PSAPSR3DB;S2;0.06
SAPSR3DB;B2B_EDI_CTRL_MSG;;;X;NL-;67;9;0.07;0.0;98.57;0;0.04;PSAPSR3DB;1;0.03;PSAPSR3DB;0;0.0
SYS;WRP$_REPORTS_DETAILS;;;X;NNN;68;9;0.07;0.0;98.57;44;0.01;SYSAUX;3;0.01;SYSAUX;S1;0.05
SYS;WRH$_PARAMETER;;;X;NN-;69;9;0.07;0.0;98.58;11;0.04;SYSAUX;1;0.04;SYSAUX;0;0.0
SYS;IDL_UB1$;;X;X;NN-;70;6;0.07;0.0;98.58;0;0.07;SYSTEM;1;0.0;SYSTEM;0;0.0
SAPSR3DB;TC_WDRR_MRO_FILES;;;X;NNN;71;12;0.07;0.0;98.58;0;0.0;PSAPSR3DB;2;0.0;PSAPSR3DB;S1;0.07
SYS;WRH$_SQLSTAT;;;X;NN-;72;81;0.06;0.0;98.59;11;0.04;SYSAUX;2;0.02;SYSAUX;0;0.0
SAPSR3DB;XI_REPDATAEXTDEF;;;X;NNN;73;9;0.06;0.0;98.59;0;0.01;PSAPSR3DB;1;0.0;PSAPSR3DB;S2;0.06
SAPSR3DB;XI_REPSYNCEXTDEF;;;X;NNN;74;11;0.05;0.0;98.59;0;0.01;PSAPSR3DB;1;0.0;PSAPSR3DB;S2;0.05
SYS;WRH$_PROCESS_WAITTIME;;;X;NN-;75;9;0.05;0.0;98.59;11;0.02;SYSAUX;1;0.03;SYSAUX;0;0.0
SYS;SYS_EXPORT_SCHEMA_01;;;X;NNN;76;111;0.05;0.0;98.6;0;0.0;SYSTEM;6;0.0;SYSTEM;B2;0.05
SYS;SYS_EXPORT_SCHEMA_02;;;X;NNN;77;111;0.05;0.0;98.6;0;0.0;SYSTEM;6;0.0;SYSTEM;B2;0.05
SYS;WRH$_LATCH_MISSES_SUMMARY;;;X;NN-;78;10;0.05;0.0;98.6;11;0.02;SYSAUX;1;0.03;SYSAUX;0;0.0
SAPSR3DB;B2B_EDI_DEF_MSG_SG;;;X;NL-;79;13;0.05;0.0;98.6;0;0.03;PSAPSR3DB;1;0.02;PSAPSR3DB;0;0.0
SAPSR3DB;XI_DIRDATA_LNK;;;X;NN-;80;13;0.05;0.0;98.61;0;0.02;PSAPSR3DB;3;0.03;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_JOBS;;;X;NN-;81;3;0.05;0.0;98.61;0;0.02;PSAPSR3DB;1;0.03;PSAPSR3DB;0;0.0
SYS;OPTSTAT_SNAPSHOT$;;;;NN-;82;6;0.05;0.0;98.61;0;0.02;SYSTEM;1;0.02;SYSTEM;0;0.0
SYS;WRH$_CON_SYSSTAT;;;X;NN-;83;7;0.04;0.0;98.61;11;0.02;SYSAUX;1;0.03;SYSAUX;0;0.0
