OWNER;TABLE_NAME;B;L;U;COMP;POS;COLS;TOTAL_GB;TOTAL_%;CUM_%;PART.;TABLE_GB;TAB_TABSPACE;IND.;INDEX_GB;IND_TABSPACE;LOBS;LOB_GB
SAPSR3DB;BC_MSG;X;;X;NLN;1;60;641.74;30.22;30.22;0;82.42;PSAPSR3DB;12;25.78;PSAPSR3DB;S4;533.53
SAPSR3DB;BC_MSG_LOG;X;;X;NLN;2;33;539.67;25.41;55.64;0;99.49;PSAPSR3DB;5;17.13;PSAPSR3DB;S3;423.05
SAPSR3DB;BC_MSG_VERSION;X;;X;NLN;3;15;372.58;17.55;73.18;0;22.05;PSAPSR3DB;1;3.19;PSAPSR3DB;S2;347.34
SAPSR3DB;GLX_C_CONTAINER;;;X;NNN;4;11;120.8;5.69;78.87;0;107.55;PSAPSR3DB;1;13.25;PSAPSR3DB;S2;0.0
SAPSR3DB;BC_MSG_AUDIT;X;;;NLN;5;11;79.34;3.74;82.61;0;28.41;PSAPSR3DB;1;1.76;PSAPSR3DB;S2;49.18
SAPSR3DB;BC_BPEM_BL_ENTRY;;;X;NNN;6;10;69.43;3.27;85.88;0;31.4;PSAPSR3DB;10;17.01;PSAPSR3DB;S2;21.01
SAPSR3DB;BC_BPEM_EL_ENTRY;;;X;NN-;7;9;57.96;2.73;88.61;0;26.38;PSAPSR3DB;4;31.58;PSAPSR3DB;0;0.0
SAPSR3DB;BC_BPEM_BL_INDEX;;;X;NN-;8;6;52.91;2.49;91.1;0;16.72;PSAPSR3DB;4;36.19;PSAPSR3DB;0;0.0
SAPSR3DB;BC_BPEM_EL_MSG;;;X;NN-;9;3;29.29;1.38;92.48;0;17.11;PSAPSR3DB;1;12.18;PSAPSR3DB;0;0.0
SAPSR3DB;BC_BPEM_EL_MSG_CTX;;;X;NL-;10;4;28.19;1.33;93.81;0;20.19;PSAPSR3DB;1;8.0;PSAPSR3DB;0;0.0
SAPSR3DB;BC_BPEM_EL_RDS;;;X;NL-;11;11;26.22;1.23;95.04;0;15.44;PSAPSR3DB;1;10.78;PSAPSR3DB;0;0.0
SAPSR3DB;BC_MSG_DUP_CHECK;;;X;NL-;12;3;19.45;0.92;95.96;0;7.46;PSAPSR3DB;2;11.99;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_OBJECTS;;;X;NNN;13;4;11.12;0.52;96.48;0;9.06;PSAPSR3DB;3;2.05;PSAPSR3DB;S1;0.0
SAPSR3DB;XI_AF_PROF_PERF_CA;;;X;NLN;14;11;11.05;0.52;97.0;0;10.75;PSAPSR3DB;2;0.24;PSAPSR3DB;S1;0.05
SAPSR3DB;J2EE_CONFIGENTRY;;;;NNN;15;10;5.64;0.27;97.27;0;0.38;PSAPSR3DB;2;0.16;PSAPSR3DB;S1;5.1
SAPSR3DB;BC_JOB_LOG;;;X;NNN;16;10;4.4;0.21;97.47;0;2.0;PSAPSR3DB;1;0.17;PSAPSR3DB;S1;2.23
SAPSR3DB;XI_AF_LMS_DATA;;;X;NN-;17;5;3.81;0.18;97.65;0;1.32;PSAPSR3DB;2;2.49;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_RRH_TEXT_CACHE;;;X;NLN;18;6;1.54;0.07;97.73;0;1.26;PSAPSR3DB;2;0.29;PSAPSR3DB;S1;0.0
SAPSR3DB;BC_SLD_INST;;;X;NNN;19;11;1.21;0.06;97.78;0;1.07;PSAPSR3DB;3;0.14;PSAPSR3DB;S2;0.0
SAPSR3DB;XI_AF_ADM_PROC_LOG;;;X;NN-;20;11;1.08;0.05;97.83;0;1.0;PSAPSR3DB;1;0.08;PSAPSR3DB;0;0.0
SAPSR3DB;BC_SLD_CHANGELOG;X;;X;NNN;21;18;1.06;0.05;97.88;0;0.88;PSAPSR3DB;3;0.16;PSAPSR3DB;S2;0.02
SAPSR3DB;BPEM_IDX_OBJ;;;;NL-;22;13;0.93;0.04;97.93;0;0.64;PSAPSR3DB;2;0.29;PSAPSR3DB;0;0.0
SAPSR3DB;BPEM_IDX_REL;;;X;NL-;23;3;0.87;0.04;97.97;0;0.65;PSAPSR3DB;2;0.23;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_ASYNCQ_ERR;;;X;NNN;24;4;0.86;0.04;98.01;0;0.01;PSAPSR3DB;1;0.01;PSAPSR3DB;S1;0.85
SAPSR3DB;BC_JOB_TASKS;;;X;NN-;25;13;0.75;0.04;98.04;0;0.35;PSAPSR3DB;4;0.4;PSAPSR3DB;0;0.0
SAPSR3DB;ZPO_ROUTING_TABLE;;;X;NN-;26;6;0.73;0.03;98.08;0;0.41;PSAPSR3DB;1;0.31;PSAPSR3DB;0;0.0
SAPSR3DB;BC_JOB_TASK_PARAM;;;X;NLN;27;5;0.69;0.03;98.11;0;0.44;PSAPSR3DB;1;0.26;PSAPSR3DB;S1;0.0
SAPSR3DB;EP_ATTR_VALUES3;;;X;NNN;28;12;0.65;0.03;98.14;0;0.08;PSAPSR3DB;2;0.07;PSAPSR3DB;S2;0.5
SYSTEM;LOGMNR_RESTART_CKPT$;;;X;NLN;29;15;0.59;0.03;98.17;0;0.52;SYSAUX;1;0.05;SYSAUX;B2;0.01
SAPSR3DB;GLX_C_SUBSCRIPT_FP;;;X;NL-;30;4;0.58;0.03;98.2;0;0.2;PSAPSR3DB;2;0.38;PSAPSR3DB;0;0.0
SAPSR3DB;BPEM_IDX_ROLES;;;;NL-;31;4;0.54;0.03;98.22;0;0.36;PSAPSR3DB;2;0.19;PSAPSR3DB;0;0.0
SAPSR3DB;ZPO_EAN_LOOKUP_2;;;X;NN-;32;6;0.51;0.02;98.25;0;0.37;PSAPSR3DB;1;0.14;PSAPSR3DB;0;0.0
SAPSR3DB;BC_JOB_JOBS_CO;;;X;NN-;33;18;0.49;0.02;98.27;0;0.13;PSAPSR3DB;13;0.36;PSAPSR3DB;0;0.0
SYS;WRH$_ACTIVE_SESSION_HISTORY;X;;X;NN-;34;78;0.46;0.02;98.29;10;0.4;SYSAUX;1;0.06;SYSAUX;0;0.0
SAPSR3DB;GLX_CONT_DO_REF;;;X;NL-;35;4;0.43;0.02;98.31;0;0.37;PSAPSR3DB;1;0.06;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_MONITOR;;;X;NNN;36;3;0.41;0.02;98.33;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.41
SAPSR3DB;GLX_RR_GEN_CONT;;;X;NNN;37;3;0.4;0.02;98.35;0;0.01;PSAPSR3DB;2;0.0;PSAPSR3DB;S1;0.39
SAPSR3DB;XI_AF_PROF_CACHE;;;X;NL-;38;7;0.38;0.02;98.37;0;0.34;PSAPSR3DB;2;0.05;PSAPSR3DB;0;0.0
SAPSR3DB;XI_AF_SVC_ID_MAP;;;X;NN-;39;4;0.37;0.02;98.38;0;0.11;PSAPSR3DB;3;0.26;PSAPSR3DB;0;0.0
SYS;WRI$_EMX_FILES;;;X;NNN;40;6;0.31;0.01;98.4;0;0.0;SYSAUX;2;0.0;SYSAUX;S2;0.31
SAPSR3DB;BC_SLD_ASSINST;;;X;NN-;41;8;0.31;0.01;98.41;0;0.09;PSAPSR3DB;2;0.21;PSAPSR3DB;0;0.0
SAPSR3DB;GLX_C_SUBSCRIPT;;;X;NN-;42;5;0.29;0.01;98.43;0;0.2;PSAPSR3DB;1;0.09;PSAPSR3DB;0;0.0
SAPSR3DB;XI_RUNMAPPINGS;;;X;NNN;43;11;0.28;0.01;98.44;0;0.02;PSAPSR3DB;3;0.01;PSAPSR3DB;S1;0.26
SAPSR3DB;BC_JOB_RECURRINGS;;;;NN-;44;5;0.28;0.01;98.45;0;0.17;PSAPSR3DB;1;0.12;PSAPSR3DB;0;0.0
SYS;WRH$_SYSSTAT;;;X;NN-;45;7;0.23;0.01;98.46;10;0.09;SYSAUX;1;0.14;SYSAUX;0;0.0
SYS;WRH$_SYSMETRIC_HISTORY;;;;NN-;46;11;0.23;0.01;98.48;10;0.1;SYSAUX;1;0.13;SYSAUX;0;0.0
SAPSR3DB;BC_SYNCLOG;;;X;NNN;47;3;0.22;0.01;98.49;0;0.0;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.22
SYS;WRI$_OPTSTAT_HISTGRM_HISTORY;X;;;NN-;48;17;0.22;0.01;98.5;1;0.0;SYSAUX;2;0.22;SYSAUX;0;0.0
SAPSR3DB;BC_JOB_JOB_ARGS;;;X;NNN;49;5;0.2;0.01;98.51;0;0.12;PSAPSR3DB;1;0.09;PSAPSR3DB;S1;0.0
SYS;WRH$_EVENT_HISTOGRAM;;;X;NN-;50;8;0.19;0.01;98.51;10;0.08;SYSAUX;1;0.11;SYSAUX;0;0.0
SAPSR3DB;J2EE_CONFIG;;;X;NN-;51;8;0.17;0.01;98.52;0;0.05;PSAPSR3DB;6;0.11;PSAPSR3DB;0;0.0
SYS;REGISTRY$SQLPATCH_RU_INFO;;;X;NNN;52;7;0.14;0.01;98.53;0;0.0;SYSTEM;1;0.0;SYSTEM;B2;0.14
SYS;WRH$_LATCH;;;X;NN-;53;18;0.14;0.01;98.54;10;0.07;SYSAUX;1;0.07;SYSAUX;0;0.0
SAPSR3DB;BC_JMSTOPIC;;;X;NNN;54;15;0.13;0.01;98.54;0;0.11;PSAPSR3DB;3;0.01;PSAPSR3DB;S1;0.0
SYS;WRH$_SQL_PLAN;;;X;NNN;55;40;0.12;0.01;98.55;0;0.03;SYSAUX;1;0.02;SYSAUX;S1;0.08
SAPSR3DB;XI_REPDATABLOBS;;;X;NNN;56;5;0.12;0.01;98.55;0;0.01;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.11
SAPSR3DB;XI_AF_PROF_PERF_AC;;;X;NNN;57;14;0.11;0.01;98.56;0;0.09;PSAPSR3DB;1;0.0;PSAPSR3DB;S1;0.02
SAPSR3DB;BC_MON_AGREGATES;;;X;NN-;58;9;0.11;0.01;98.56;0;0.01;PSAPSR3DB;2;0.1;PSAPSR3DB;0;0.0
