TSP_NAME;TABLESPACE_TYPE;ALLOC_GB;DB_%;AUTOEXT_GB;USED_GB;USED_%;FREE_GB;FILES;SEGMENTS;EXTENTS
PSAPSR3DB;LMTS/P (SYS), ASSM;4061.17;93.97;4061.17;3032.54;74.67;1028.64;127;2142;77614
PSAPUNDO;LMTS/U (SYS);135.06;3.13;135.06;24.95;18.47;110.11;5;430;12030
PSAPTEMP;LMTS/T (UNI 2M);117.19;2.71;117.19;0.00;0.00;117.18;4;0;2
SYSAUX;LMTS/P (SYS), ASSM;6.33;0.15;29.30;3.67;57.94;2.66;1;3657;12765
SYSTEM;LMTS/P (SYS);2.00;0.05;9.77;0.85;42.45;1.15;1;2226;4204
